source,target,weight,etype
rna_module_001,rna_module_002,0.8908445030565939,rna_co
rna_module_001,rna_module_004,-0.5743469055016271,rna_co
rna_module_001,rna_module_007,0.3528148117251651,rna_co
rna_module_002,rna_module_007,0.3237059550088751,rna_co
rna_module_003,rna_module_004,-0.5799123995452768,rna_co
rna_module_003,rna_module_005,-0.5115736293899257,rna_co
rna_module_003,rna_module_006,0.32107843955388055,rna_co
rna_module_006,rna_module_007,-0.3706631253097074,rna_co
rna_module_006,rna_module_008,0.33481026417023996,rna_co
rna_module_010,rna_module_011,0.38132235422931504,rna_co
rna_module_016,rna_module_019,0.3033345239761897,rna_co
rna_module_023,rna_module_025,0.3301988900278262,rna_co
rna_module_026,rna_module_027,-0.30706962365701546,rna_co
rna_module_027,rna_module_036,0.31627816872992764,rna_co
rna_module_001,LF2,0.9662609843431148,input_to_latent
rna_module_002,LF2,0.8970145645744702,input_to_latent
rna_module_003,LF4,-0.5929937792384936,input_to_latent
rna_module_003,LF6,-0.5266932260336838,input_to_latent
rna_module_004,LF2,-0.5515268895229642,input_to_latent
rna_module_004,LF3,0.4423570846925215,input_to_latent
rna_module_004,LF4,0.3557988507045071,input_to_latent
rna_module_004,LF5,0.35357164087111187,input_to_latent
rna_module_005,LF3,-0.34173114813756605,input_to_latent
rna_module_005,LF4,0.49960049998537176,input_to_latent
rna_module_005,LF5,-0.5025585059086162,input_to_latent
rna_module_005,LF6,0.42309496444790906,input_to_latent
rna_module_006,LF4,-0.4215590375317807,input_to_latent
rna_module_006,LF7,-0.5429821764207928,input_to_latent
rna_module_007,LF2,0.42779267260616793,input_to_latent
rna_module_007,LF5,0.463508440734679,input_to_latent
rna_module_007,LF9,-0.34591867918362335,input_to_latent
rna_module_008,LF6,0.41258156602309265,input_to_latent
rna_module_008,LF10,-0.4999139248388233,input_to_latent
rna_module_009,LF4,0.38837359698848894,input_to_latent
rna_module_009,LF10,-0.4015989940147025,input_to_latent
rna_module_010,LF5,-0.349026493903432,input_to_latent
rna_module_010,LF6,-0.3519319194215994,input_to_latent
rna_module_010,LF8,-0.6492215352612333,input_to_latent
rna_module_011,LF5,-0.3790793164215582,input_to_latent
rna_module_011,LF8,-0.338706815980329,input_to_latent
rna_module_012,LF7,-0.4997578404784524,input_to_latent
rna_module_012,LF8,-0.3734800843116022,input_to_latent
rna_module_013,LF6,0.4429035413571982,input_to_latent
rna_module_014,LF9,0.5314712477564334,input_to_latent
rna_module_015,LF3,-0.3002601452916527,input_to_latent
rna_module_016,LF7,0.3264884249729268,input_to_latent
rna_module_017,LF3,0.37581989809261634,input_to_latent
rna_module_019,LF9,-0.37368175420442706,input_to_latent
rna_module_024,LF7,0.3611087092944807,input_to_latent
rna_module_024,LF9,-0.30376503951479294,input_to_latent
rna_module_025,LF7,-0.3378809779532909,input_to_latent
rna_module_025,LF10,0.3284411265886406,input_to_latent
rna_module_027,LF8,-0.33280788562950636,input_to_latent
rna_module_040,LF1,0.3438214510131846,input_to_latent
protein_module_001,LF8,0.33806376221679224,input_to_latent
protein_module_004,LF3,-0.32718104592847147,input_to_latent
protein_module_004,LF10,0.3653569094741893,input_to_latent
protein_module_007,LF5,-0.37053822544264226,input_to_latent
protein_module_007,LF6,0.4065601002250395,input_to_latent
protein_module_008,LF2,0.32777243766162417,input_to_latent
protein_module_008,LF4,0.43068895446909305,input_to_latent
protein_module_009,LF6,0.34760249092782136,input_to_latent
protein_module_010,LF5,-0.3052276231120217,input_to_latent
protein_module_011,LF2,0.3906886254649593,input_to_latent
protein_module_011,LF7,-0.3017745271308554,input_to_latent
protein_module_011,LF9,-0.31556517965311426,input_to_latent
protein_module_012,LF8,0.33137297865892773,input_to_latent
protein_module_013,LF7,0.3247084824111042,input_to_latent
protein_module_014,LF6,0.35701612917357606,input_to_latent
protein_module_016,LF8,-0.3569307370058147,input_to_latent
LF5,comp2,-0.3813296554726817,latent_to_outcome
