PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.10915297228205258,0.10915297228205258
PC2,0.05663756139877709,0.16579053368082966
PC3,0.05087568036906983,0.2166662140498995
PC4,0.04372602621398401,0.2603922402638835
PC5,0.03566970231734178,0.2960619425812253
PC6,0.03315049414716556,0.32921243672839084
PC7,0.027733764555398947,0.3569462012837898
PC8,0.023887475742688267,0.3808336770264781
PC9,0.022599935736840507,0.40343361276331857
PC10,0.020580588474581052,0.4240142012378996
