hub,library,Term,Adjusted P-value,P-value,Combined Score,Odds Ratio,Genes
LF8,GO_Biological_Process_2023,Axon Development (GO:0061564),0.0556980075425616,0.0035242263234814,144.73241770614385,25.625,MAPT;L1CAM
LF8,GO_Biological_Process_2023,Positive Regulation Of Cell Growth (GO:0030307),0.0556980075425616,0.0040279205020307,131.7515999978486,23.891826923076923,MAPT;L1CAM
LF5,MSigDB_Hallmark_2020,UV Response Up,0.1655503660358053,0.133094411192108,14.979771069640403,7.427875608842263,ONECUT1
LF5,MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,SLC25A5
LF5,MSigDB_Hallmark_2020,Complement,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,ADRA2B
LF5,MSigDB_Hallmark_2020,Estrogen Response Early,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,MAPT
LF5,MSigDB_Hallmark_2020,Estrogen Response Late,0.1655503660358053,0.1655503660358053,10.51709310132786,5.847768253029855,MAPT
LF5,KEGG_2021_Human,cGMP-PKG signaling pathway,0.1620694825044516,0.0097125942410483,69.57466248099944,15.012878787878789,SLC25A5;ADRA2B
LF5,KEGG_2021_Human,Parkinson disease,0.1620694825044516,0.0207149334746601,38.719954295725614,9.987348178137651,MAPT;SLC25A5
LF5,KEGG_2021_Human,Maturity onset diabetes of the young,0.1620694825044516,0.0231527832149216,176.82560723797164,46.95764705882353,ONECUT1
LF5,KEGG_2021_Human,Alzheimer disease,0.2244566752233233,0.0427536524234901,21.06007399810004,6.680858310626703,MAPT;SLC25A5
LF5,KEGG_2021_Human,Pathways of neurodegeneration,0.2517362715325746,0.0670420092024598,13.932827974953405,5.155655391120507,MAPT;SLC25A5
LF5,KEGG_2021_Human,Cholinergic synapse,0.2517362715325746,0.0969989218002412,24.3475898718272,10.4359243697479,KCNQ4
LF5,KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,0.2517362715325746,0.1212167829384625,17.34294402575858,8.218724109362055,ONECUT1
LF5,KEGG_2021_Human,Spinocerebellar ataxia,0.2517362715325746,0.1212167829384625,17.34294402575858,8.218724109362055,SLC25A5
LF5,GO_Biological_Process_2023,Negative Regulation Of Mitochondrion Organization (GO:0010823),0.0691298025239324,0.0005558029199639917,505.03278857308806,67.38175675675676,MAPT;SLC25A5
LF5,GO_Biological_Process_2023,Inclusion Body Assembly (GO:0070841),0.0691298025239324,0.0044922927083929,1588.072397289777,293.79411764705884,MAPT
