sample,tcr_core_score,tcr_core_score_genes_found,cytolytic_score,cytolytic_score_genes_found,ifn_antigen_presentation_score,ifn_antigen_presentation_score_genes_found,exhaustion_regulatory_score,exhaustion_regulatory_score_genes_found,bcr_plasma_score,bcr_plasma_score_genes_found,sample_group
133-1,4026.197712708345,7,4512.659356108855,6,6139.441604910709,9,599.5535810115604,6,1396.2904392732817,6,PD-1+ CD39- CD8 T cells
133-2,3948.3105899069046,7,6015.856116506843,6,5906.3749157445445,9,2331.4499422542135,6,1567.2729140350896,6,CD137- PD-1high CD39+ CD8 T cells
133-3,3011.032876146802,7,7133.880990293644,6,4996.147418050574,9,2492.1451118422965,6,2034.872411118161,6,CD137+ PD-1high CD39+ CD8 T cells
220-1,3696.7056517599462,7,9236.093780337089,6,5242.874449867402,9,1534.3522196231972,6,2856.3076408415322,6,PD-1+ CD39- CD8 T cells
220-2,4086.7100734251694,7,7236.8354506029145,6,4893.911343460278,9,2321.442663127525,6,2724.4170169784484,6,CD137- PD-1high CD39+ CD8 T cells
220-3,3696.099927678138,7,6336.484308170978,6,4259.458946700496,9,1996.2030946636432,6,1478.2248522472528,6,CD137+ PD-1high CD39+ CD8 T cells
222-1,2653.5793350956046,7,4143.891991986619,6,4845.773999317706,9,363.9317818346627,6,898.4298686247254,6,PD-1+ CD39- CD8 T cells
222-2,2951.6835405142488,7,7538.036156202979,6,4874.863257170737,9,1755.0307354293066,6,1848.6795322291346,6,CD137- PD-1high CD39+ CD8 T cells
222-3,2402.6297123812583,7,5503.970098818681,6,4677.9394081578685,9,1997.657946825834,6,2580.5257692357086,6,CD137+ PD-1high CD39+ CD8 T cells
