PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.4540177791521534,0.4540177791521534
PC2,0.03247736097188828,0.4864951401240417
PC3,0.028941929042403676,0.5154370691664454
PC4,0.024601556976033362,0.5400386261424788
PC5,0.02117724340437882,0.5612158695468576
PC6,0.020267146895619627,0.5814830164424772
PC7,0.01965022882893507,0.6011332452714123
PC8,0.018541326807090957,0.6196745720785033
PC9,0.017133346287181273,0.6368079183656845
PC10,0.01619978202306056,0.6530077003887451
