hub,delta_global_slope,monotonic_non_decreasing
LF7,0.12724227268775945,True
LF8,0.12286115749116293,True
LF6,0.1132445477089191,True
LF5,0.10952211168444917,True
LF2,0.09699368884830914,True
LF4,0.09446278110417008,True
rna_module_004,0.08119311405969362,True
rna_module_005,0.07445211577024394,True
rna_module_007,0.06741559730024059,True
LF3,0.06396138978112043,True
