view,n_samples,n_features,pc1_var,pc2_var,pc1_pc2_cum_var
rna_modules,90,50,0.020000000000000042,0.02000000000000004,0.04000000000000008
cna,90,46216,0.4540177791521534,0.03247736097188828,0.4864951401240417
methylation,90,7594,0.10915297228205258,0.05663756139877709,0.16579053368082966
mutation,90,292,0.04874706431474763,0.035975779224254746,0.08472284353900238
protein_modules,57,20,0.05000000000000006,0.05000000000000005,0.10000000000000012
